program_id,program_name,institution,source_type,source_url,primary_field,secondary_fields,interests,goals,budget,format,location_preference,city,state_or_country,region,selectivity,duration,duration_weeks,season,grade_min,grade_max,support_type,tuition_usd,financial_aid,residential_option,description,keywords,academic_strength_target,recommended_gpa_range,coursework_background_expected,prior_experience_expected,academic_rigor_level,prerequisite_notes
community-impact-fellows,Community Impact Fellows,NextGen Civic Lab,local_seed,,leadership,public service|social entrepreneurship,service|leadership|mentor,leadership,low,online,anywhere,Remote,Online,online,emerging,6 weeks,6,summer,9,12,cohort based,450,unknown,not offered,"Students design a local initiative, work with a mentor, and learn how to turn interests into sustainable community impact.",service|leadership|mentor|project planning|initiative building|community engagement|leadership|public service|social entrepreneurship,developing,3.0+,"economics, statistics, or leadership experience helpful",open to beginners,moderate,A student willing to own a project and create momentum independently.
film-story-lab,Film & Story Lab,Horizon Arts Institute,local_seed,,creative writing,film|media,film|storytelling|showcase,portfolio building|academic challenge,moderate,in-person,same region,Los Angeles,California,west coast,medium,3 weeks,3,summer,10,12,portfolio based,3900,unknown,available,"An on-campus arts intensive where students create short films, workshop scripts, and present at a final showcase.",film|storytelling|showcase|storyboarding|editing|creative direction|presentation|creative writing|film|media,solid,3.0+,strong reading and writing coursework helps,basic familiarity helps,medium,A student energized by making and presenting creative work.
health-innovation-research,Health Innovation Research Scholars,Desert Biomedical Center,local_seed,,biomedical engineering,medicine|research,biomed|lab|hybrid|research,research exposure|career exploration,moderate,hybrid,same region,Phoenix,Arizona,west coast,high,6 weeks,6,summer,11,12,faculty mentored,2900,unknown,possible,"Students join guided lab teams exploring wearable health technology, bioinformatics, and translational research communication.",biomed|lab|hybrid|research|bioinformatics basics|lab teamwork|scientific communication|biomedical engineering|medicine|research,strong,3.3-3.5,math and science coursework recommended,some prior experience expected,high,"recommended minimum GPA 3.5; A student drawn to both medicine and engineering, especially with research curiosity."
global-policy-dialogue,Global Policy Dialogue,World Affairs Scholars,local_seed,,international relations,humanities|leadership,policy|debate|global affairs,leadership|academic challenge,moderate,in-person,same region,Philadelphia,Pennsylvania,east coast,emerging,2 weeks,2,summer,9,12,cohort based,2200,unknown,possible,"A debate- and writing-focused summer dialogue where students analyze global issues, prepare policy briefs, and engage in diplomacy simulations.",policy|debate|global affairs|policy briefs|diplomacy simulation|public speaking|international relations|humanities|leadership,developing,3.0+,strong reading and writing coursework helps,open to beginners,moderate,"A student who likes discussion, world issues, and persuasive communication."
applied-ai-for-good,Applied AI for Good,Catalyst Future Labs,local_seed,,artificial intelligence,computer science|social impact,AI|impact|pitch|hybrid,research exposure|career exploration|leadership,moderate,hybrid,same region,San Diego,California,west coast,medium,5 weeks,5,summer,10,12,faculty mentored,2600,unknown,possible,"A hybrid pre-college program where students build AI prototypes tied to climate, education, or health use cases and pitch them to mentors.",AI|impact|pitch|hybrid|AI prototyping|problem framing|pitching|collaboration|artificial intelligence|computer science|social impact,solid,3.3-3.5,some coding or quantitative coursework helps,basic familiarity helps,medium,"recommended minimum GPA 3.3; A student who wants AI depth, but also wants projects to matter beyond the classroom."
research-foundations-online,Research Foundations Online,Scholars Bridge,local_seed,,research,writing|STEM,research skills|mentor outreach|poster,research exposure,low,online,anywhere,Remote,Online,online,emerging,4 weeks,4,summer,9,12,faculty mentored,750,unknown,not offered,"A flexible online program teaching literature reviews, research framing, mentor outreach, and final poster creation.",research skills|mentor outreach|poster|literature review|research planning|academic writing|poster design|research|writing|STEM,developing,3.0+,strong reading and writing coursework helps,open to beginners,moderate,A student who wants practical research preparation and a manageable online format.
open-source-builders-sprint,Open Source Builders Sprint,OpenForge Academy,local_seed,,computer science,software engineering|leadership,open source|portfolio|team-based,career exploration|hands-on projects,low,online,anywhere,Remote,Online,online,emerging,3 weeks,3,summer,9,12,project based,450,unknown,not offered,"A three-week online sprint where students contribute to beginner-friendly open source projects, work with code reviewers, and ship a public portfolio piece.",open source|portfolio|team-based|Git collaboration|code review|issue tracking|documentation|computer science|software engineering|leadership,developing,3.0+,some coding or quantitative coursework helps,open to beginners,moderate,A student who wants affordable technical proof and is comfortable learning by doing.
community-health-research-collaborative,Community Health Research Collaborative,Sunbelt Health Institute,local_seed,,public health,biology|research,public health|community|research,research exposure|leadership,low,hybrid,same region,Atlanta,Georgia,south,medium,4 weeks,4,summer,10,12,faculty mentored,900,unknown,possible,"Students investigate a local health issue, work in small teams, and present findings tied to access, prevention, and community care.",public health|community|research|survey design|community analysis|research presentation|health communication|public health|biology|research,solid,3.0+,biology or chemistry background helpful,basic familiarity helps,medium,recommended minimum GPA 3.2; A student who wants health-related impact work without a huge cost barrier.
policy-and-media-institute,Policy and Media Institute,Capstone Civic Media Center,local_seed,,public policy,writing|media,policy|writing|media,leadership|academic challenge,low,in-person,same region,Washington,D.C.,east coast,emerging,3 weeks,3,summer,9,12,cohort based,1100,unknown,possible,"A short summer institute where students report on local issues, write policy explainers, and practice turning research into public-facing work.",policy|writing|media|policy writing|interviewing|editing|public communication|public policy|writing|media,developing,3.0+,strong reading and writing coursework helps,open to beginners,moderate,"A student who likes writing, current events, and explaining issues clearly."
market-lab-leadership-fellows,Market Lab Leadership Fellows,Heartland Enterprise Studio,local_seed,,business,economics|leadership,business|campaign|execution,career exploration|leadership,low,hybrid,same region,St. Louis,Missouri,midwest,medium,4 weeks,4,summer,10,12,project based,950,unknown,possible,"A hybrid business program where students study customer demand, run a small campaign, and present the results behind their decisions.",business|campaign|execution|customer research|campaign planning|presentation|team management|business|economics|leadership,solid,3.0+,"economics, statistics, or leadership experience helpful",basic familiarity helps,medium,A student who likes organizing people and turning ideas into something visible.
writers-room-residency,Writers' Room Residency,Blue Harbor Writing House,local_seed,,creative writing,humanities|writing,writing|portfolio|workshop,portfolio building|academic challenge|hands-on projects,moderate,in-person,same region,Providence,Rhode Island,east coast,medium,2 weeks,2,summer,10,12,portfolio based,1700,unknown,available,"A two-week residential workshop focused on close reading, revision, and building a short polished portfolio with feedback from working writers.",writing|portfolio|workshop|revision|close reading|peer workshop|portfolio building|creative writing|humanities|writing,solid,3.0+,strong reading and writing coursework helps,basic familiarity helps,medium,"A student who wants a serious, workshop-heavy writing environment."
biodesign-innovation-studio,Biodesign Innovation Studio,Midwest Institute for Biomedical Design,local_seed,,biomedical engineering,engineering|health,biodesign|prototype|health tech,academic challenge|hands-on projects,moderate,in-person,same region,Cleveland,Ohio,midwest,medium,3 weeks,3,summer,10,12,structured enrichment,2300,unknown,available,"Students work through a biomedical design challenge, test simple prototypes, and explain the health need behind each solution.",biodesign|prototype|health tech|design review|prototype iteration|problem framing|health tech communication|biomedical engineering|engineering|health,solid,3.3-3.5,math and science coursework recommended,basic familiarity helps,medium,"recommended minimum GPA 3.3; A student who likes both science and design, and wants a concrete project to discuss later."
